experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.022899ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.008572ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007008ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.005926ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006382ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006737ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007058ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006633ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006803ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006242ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006964ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006081ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006241ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007238ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.004613ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007169ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006998ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.005921ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006823ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006387ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006994ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002026ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002129ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001916ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002037ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001754ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001773ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.00184ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001761ms
