experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.004594ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.004877ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.007134ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.007951ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.006916ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.008326ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.005272ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.005545ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.004985ms
compare_algorithms;nEqualBkpSize;bruteforce;3;3;0.004797ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011257ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.012143ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011488ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011429ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011512ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010983ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010837ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.01058ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011251ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010592ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.01065ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011133ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010388ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010759ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011523ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010758ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010947ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010888ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011303ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010713ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010987ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010611ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011278ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010616ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011953ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010592ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010708ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010833ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010919ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.01032ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010871ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011145ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010952ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011135ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010544ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010969ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010566ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011358ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011228ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010481ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010904ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010502ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011311ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010952ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011481ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010695ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.01092ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.010692ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.01111ms
compare_algorithms;nEqualBkpSize;bruteforce;4;4;0.011352ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024422ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024838ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025718ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023783ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023663ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.034977ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024966ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025311ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024313ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024644ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024621ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024948ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023755ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024469ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025335ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023817ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024528ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.02566ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024505ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024273ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024262ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024471ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023568ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.02521ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023934ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025192ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024789ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024373ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024079ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025379ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023886ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024276ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.025055ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024928ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024552ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024005ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024086ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024257ms
