experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010484ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010439ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010456ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010704ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.014951ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011106ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010679ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.014639ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011609ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010567ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.012821ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.017462ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.016453ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.015685ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.016808ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.015928ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011536ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010559ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010539ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.016161ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014935ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015532ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015543ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015055ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014951ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014892ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014756ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014933ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014963ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014757ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.01478ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014968ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014939ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015035ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014852ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014974ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014884ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014715ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015135ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014853ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014841ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014924ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.01508ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.01477ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014774ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014689ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014762ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.01484ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015035ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015147ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014748ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014986ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014827ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014864ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014866ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014788ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014699ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014896ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014922ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014935ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014989ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.014716ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;4;0.015056ms
