experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001773ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002129ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006286ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005229ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001719ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001916ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006234ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005173ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001762ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002037ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006213ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005139ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001651ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001754ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006288ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005207ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001728ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001773ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006303ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005126ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001807ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.00184ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006246ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005133ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001655ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001761ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006392ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005167ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001729ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001951ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006313ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005162ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001785ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001993ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006293ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005188ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001745ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001954ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.00633ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005226ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001743ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001792ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006417ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005143ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001792ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001947ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006371ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005222ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.00168ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001925ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006428ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005086ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001831ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.00198ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006243ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005246ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001735ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001766ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006336ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005234ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001721ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.00181ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.00621ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005092ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001681ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001753ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006265ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005145ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001677ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001796ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006194ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005217ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001745ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001733ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006379ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005167ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001695ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001817ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006157ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005073ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.00171ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001811ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006216ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005109ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001698ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001807ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006295ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005074ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001811ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001988ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006336ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005147ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001739ms
