experiment;function;algorithm;bkpSize;n;t
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010865ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01087ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010808ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01082ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016059ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021262ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018932ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.013211ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016183ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015381ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.01652ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023805ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018804ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020592ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020528ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020057ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022714ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018092ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015879ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015823ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.017828ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020516ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022576ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016339ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020343ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019136ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018682ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018557ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018572ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022599ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018922ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.01631ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020658ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023566ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020981ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019869ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021361ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016449ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023848ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021914ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.02169ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022382ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018068ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016943ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021509ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019141ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022701ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.02017ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020589ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018943ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022384ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020723ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023422ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020523ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.046212ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.022081ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.040831ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.046197ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.038899ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.036382ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.024306ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.026916ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.035219ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.042635ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.035287ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.024518ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.033451ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.043054ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.034003ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.032302ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.034882ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.031227ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.028092ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.037684ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.023594ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.037201ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.024996ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.023997ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.022516ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.023993ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.032783ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.033731ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.027461ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.034389ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.031537ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.021457ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.042884ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.031597ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.041702ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.0229ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.037983ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.025484ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.045639ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.040427ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.040517ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.030182ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.032806ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.036382ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.032588ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.029046ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.040476ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.031527ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.029141ms
compare_algorithms;fixedBkpSize;backtracking;100;5;0.038222ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.037854ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.074822ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.043489ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.057915ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.058505ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.062696ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.063869ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.049812ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.03558ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.02506ms
compare_algorithms;fixedBkpSize;backtracking;100;6;0.044882ms
