experiment;function;algorithm;bkpSize;n;t
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;19;19;0.023808ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;20;20;1805.32ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;20;20;6.83638ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;20;20;0.85553ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;20;20;0.026935ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;21;21;3773.86ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;21;21;10.728ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;21;21;0.964781ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;21;21;0.028349ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;22;22;7901.52ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;22;22;14.6191ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;22;22;1.08348ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;22;22;0.030466ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;23;23;15863.3ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;23;23;23.3479ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;23;23;1.21562ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;23;23;0.032618ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;24;24;32855.2ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;24;24;32.1087ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;24;24;1.35597ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;24;24;0.034521ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;25;25;66281.2ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;25;25;50.3725ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;25;25;1.51151ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;25;25;0.03712ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;26;26;137618ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;26;26;68.754ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;26;26;1.66435ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;26;26;0.039275ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;27;27;277784ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;27;27;109.175ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;27;27;1.8654ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;27;27;0.04206ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;28;28;149.079ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;28;28;2.04277ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;28;28;0.054412ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;29;29;235.688ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;29;29;2.21627ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;29;29;0.046882ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;30;30;321.531ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;30;30;2.40873ms
